miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)
MIRT438563	dme-miR-312-3p	Drosophila melanogaster	pan	43769	Drosophila melanogaster	Luciferase reporter assay//Western blot	Functional MTI	23821034
MIRT438561	dme-miR-313-3p	Drosophila melanogaster	pan	43769	Drosophila melanogaster	Luciferase reporter assay//Western blot	Functional MTI	23821034
MIRT003974	hsa-let-7a-5p	Homo sapiens	wech	44653	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17671087
MIRT006642	dme-miR-279-3p	Drosophila melanogaster	nerfin-1	44786	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	22049409
MIRT001859	dme-miR-9a-5p	Drosophila melanogaster	sens	45328	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	17015424
MIRT000429	dme-miR-137-3p	Drosophila melanogaster	mei-P26	45775	Drosophila melanogaster	GFP reporter assay//Luciferase reporter assay	Functional MTI	20400939
MIRT001902	dme-miR-1-3p	Drosophila melanogaster	tutl	46015	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15738385
MIRT003746	dme-miR-8-3p	Drosophila melanogaster	Gug	46156	Drosophila melanogaster	Luciferase reporter assay//qRT-PCR//Reporter assay//Western blot	Functional MTI	17923093
MIRT005071	dme-miR-1-3p	Drosophila melanogaster	sinu	46187	Drosophila melanogaster	Microarray//Luciferase reporter assay	Functional MTI	17592038
MIRT003925	dme-miR-iab-8-5p	Drosophila melanogaster	Abd-B	47763	Drosophila melanogaster	Luciferase reporter assay	Non-Functional MTI	18172160
MIRT001874	dme-miR-34-5p	Drosophila melanogaster	Su(z)12	48071	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15738385
MIRT053198	dme-miR-7-5p	Drosophila melanogaster	ttk	48317	Drosophila melanogaster	Immunocytochemistry	Functional MTI (Weak)	23325762
MIRT002863	dme-miR-92b-3p	Drosophila melanogaster	ttk	48317	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15943864
MIRT002862	dme-miR-312-3p	Drosophila melanogaster	ttk	48317	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15943864
MIRT003863	dme-miR-4-3p	Drosophila melanogaster	BobA	50281	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT003863	dme-miR-4-3p	Drosophila melanogaster	BobA	50281	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT003861	dme-miR-7-5p	Drosophila melanogaster	BobA	50281	Drosophila melanogaster	GFP reporter assay//Reporter assay;Other	Functional MTI	15833912
MIRT003861	dme-miR-7-5p	Drosophila melanogaster	BobA	50281	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT003869	dme-miR-11-3p	Drosophila melanogaster	BobA	50281	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT003869	dme-miR-11-3p	Drosophila melanogaster	BobA	50281	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT003858	dme-miR-79-3p	Drosophila melanogaster	BobA	50281	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT003858	dme-miR-79-3p	Drosophila melanogaster	BobA	50281	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT001889	dme-miR-279-3p	Drosophila melanogaster	SP555	53471	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15738385
MIRT005070	dme-miR-1-3p	Drosophila melanogaster	Jafrac2	53577	Drosophila melanogaster	Microarray//Luciferase reporter assay	Functional MTI	17592038
MIRT001887	dme-miR-287-3p	Drosophila melanogaster	Dip1	53580	Drosophila melanogaster	Luciferase reporter assay	Non-Functional MTI	15738385
MIRT002844	dme-miR-4-3p	Drosophila melanogaster	brd	247926	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT002844	dme-miR-4-3p	Drosophila melanogaster	brd	247926	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
